add-s,4,10000,80000,9591911,959,0
add-s,8,10000,160000,29543609,2954,0
add-s,12,10000,240000,59437115,5943,0
add-yield-s,2,1000,4000,1305732,1305,0
add-yield-s,4,1000,8000,2889587,2889,0
add-yield-s,8,1000,16000,23103542,23103,0
add-yield-s,12,1000,24000,2337133810,2337133,0
add-c,1,10000,20000,559191,55,0
add-c,2,10000,40000,2311255,231,0
add-c,4,10000,80000,8331460,833,0
add-c,8,10000,160000,28683095,2868,0
add-c,12,10000,240000,45431459,4543,0
add-yield-c,0,1,0,36541,36541,0
add-yield-c,0,1,0,36483,36483,0
add-yield-c,0,1,0,39579,39579,0
add-yield-c,0,1,0,36457,36457,0
add-none,1,100,200,245086,2450,0
add-none,1,1000,2000,303710,303,0
add-none,1,10000,20000,598151,59,0
add-none,1,100000,200000,2994230,29,0
add-none,2,100,400,203151,2031,0
add-none,2,1000,4000,262315,262,827
add-none,2,10000,40000,1593868,159,54
add-none,2,100000,400000,7848294,78,-73505
add-none,4,100,800,165280,1652,10
add-none,4,1000,8000,280665,280,-294
add-none,4,10000,80000,1459034,145,-10515
add-none,4,100000,800000,11558182,115,-22410
add-none,8,100,1600,427574,4275,-18
add-none,8,1000,16000,270519,270,-95
add-none,8,10000,160000,2479687,247,-200
add-none,8,100000,1600000,20920808,209,-71905
add-none,12,100,2400,466916,4669,0
add-none,12,1000,24000,472668,472,-560
add-none,12,10000,240000,2570164,257,-10687
add-none,12,100000,2400000,33253881,332,37046
add-yield-none,1,100,200,163726,1637,0
add-yield-none,1,1000,2000,502194,502,0
add-yield-none,1,10000,20000,3626824,362,0
add-yield-none,1,100000,200000,34422003,344,0
add-yield-none,2,100,400,123826,1238,61
add-yield-none,2,1000,4000,500427,500,-44
add-yield-none,2,10000,40000,3976785,397,8
add-yield-none,2,100000,400000,33683204,336,41
add-yield-none,4,100,800,167930,1679,42
add-yield-none,4,1000,8000,806017,806,-610
add-yield-none,4,10000,80000,5630453,563,-5853
add-yield-none,4,100000,800000,53783652,537,-70775
add-yield-none,8,100,1600,306609,3066,156
add-yield-none,8,1000,16000,3018441,3018,482
add-yield-none,8,10000,160000,15901793,1590,-1607
add-yield-none,8,100000,1600000,77665925,776,-79195
add-yield-none,12,100,2400,518140,5181,61
add-yield-none,12,1000,24000,3139520,3139,-441
add-yield-none,12,10000,240000,23402615,2340,-5898
add-yield-none,12,100000,2400000,113093862,1130,18344
